%BOUGU_LIST=(
"a"=>"钢护胸装甲,10,3,0,0,10000,0,0,7,100",
"b"=>"合金护胸装甲,40,4,-3,0,40000,0,0,7,100",
"c"=>"钛合金护胸装甲,70,5,-5,0,100000,0,0,7,100",
"d"=>"高张力钢全身装甲,100,6,-10,0,200000,0,0,7,100",
"e"=>"露那次合金装甲,140,10,-15,0,400000,0,0,7,100",
"f"=>"高达尼母合金装甲,190,3,0,0,800000,0,0,7,100",
"g"=>"高达尼母合金全方位装甲,250,3,0,0,1500000,0,0,7,150",
"h"=>"瞄准仪,5,1,5,0,10000,0,0,7,100",
"i"=>"照准系统,0,5,15,0,50000,0,0,7,200",
"j"=>"卫星地面瞄准系统,5,10,30,0,100000,0,0,7,200",
"k"=>"力量增幅装置,0,10,-5,10,10000,0,0,7,100",
"l"=>"辅助激光剑,0,10,-5,30,40000,0,0,7,100",
"m"=>"露那次合金追加手臂,0,10,-5,60,100000,0,0,7,100",
"o"=>"高达尼母合金追加手臂,0,10,0,100,200000,0,0,7,100",
"p"=>"附加G重力冲击炮,0,10,0,200,400000,0,0,7,100",
#"q"=>"I-Field生成装置,0,10,-5,0,1000000,0,a,7,10",
#"r"=>"A.T Field生成装置,0,10,-5,0,2000000,0,b,7,5",
#"s"=>"废料回收装置,0,3,0,0,100000,0,d,7,10",
#"t"=>"强化人增幅装置,0,3,0,0,300000,0,8,7,10",
#"u"=>"HP吸收装置,0,3,0,0,300000,0,d,7,10",
);

#(ID、防具名、防御力、重さ、命中補正、攻撃力補正、価格、入手確立、特殊効果、商品、耐久力）
