%WEAPON_LIST=(
"hojoken"=>"稀有礦石,0,0,0,0,0,0,0,100",
"hukubiki"=>"高達尼姆合金,0,0,0,0,0,0,0,100",
"a"=>"光束配刀,2000,65,2,40,5000,7,0,nnn",
"aa"=>"米加流光束刀,3000,65,2,50,10000,6,0",
"aaa"=>"大型光束刀,5000,65,2,100,20000,6,0",
"aaaa"=>"高出力光束刀,7000,65,2,180,40000,6,0",
"aaaaa"=>"回転式光束刀,1600,80,10,180,80000,6,0",
"aaaaaa"=>"超合金光束刀,2200,80,10,360,160000,0,0",
"ai"=>"電磁刀,3000,60,2,50,10000,6,0",
"aii"=>"高周波刀,5000,60,2,100,20000,6,0",
"aiii"=>"高出力周波刀,7000,65,2,150,40000,6,0",
"aiiii"=>"大型电磁刀,20000,70,1,200,80000,6,0,weeeeeee",
"b"=>"格斗,3600,85,1,30,5000,7,0,nnn",
"bb"=>"燃之拳,5000,80,1,40,10000,6,0",
"bbb"=>"豪熱机拳,8000,80,1,70,20000,6,0",
"bbbb"=>"高出力豪熱机拳,10000,80,1,150,40000,6,0",
"bbbbb"=>"超烈破拳,20000,80,1,350,40000,0,0,weeeeeee",
"be"=>"爆熱拳,5000,80,1,50,10000,6,0",
"bee"=>"破天拳,4500,80,2,80,20000,6,0",
"beee"=>"超級覇王電影弾,10000,80,1,150,40000,6,0",
"beeee"=>"石破天驚拳,9000,85,2,250,80000,6,0",
"beeeee"=>"元気魂,8000,85,3,400,160000,0,0",
"c"=>"光束剣,3200,90,1,20,6000,7,0",
"ca"=>"雷射光束剣,4500,90,1,30,12000,6,0",
"caa"=>"腕式光剣,8000,80,1,80,24000,6,0",
"caaa"=>"DX专用大型光剑,8000,95,2,150,48000,6,0",
"caae"=>"斬鉄剣,8000,90,2,180,48000,6,0",
"caaee"=>"計都瞬狱劍,8000,80,3,200,80000,6,0",
"caaeee"=>"計都羅侯劍,8000,80,4,400,150000,6,0",
"caaeeee"=>"計都羅侯劍*暗劍殺,4500,95,7,500,200000,0,1,wbbbbbbb",
"cc"=>"熱能光束剣,4500,90,1,30,12000,6,0",
"ccc"=>"米加流光束剣,8000,80,1,80,24000,6,0",
"ccca"=>"誘導式光束剣,11000,90,1,150,48000,6,0",
"cccaa"=>"天上天下无敌剑,14000,90,1,250,100000,6,0",
"cccaaa"=>"天上天下念动破碎剑,20000,90,1,350,130000,6,4",
"cccaaaa"=>"天上天下念動爆碎劍,28000,95,1,450,160000,0,5",
"cccc"=>"暗剣,1700,80,8,150,48000,6,0",
"ccccc"=>"灭狱剑,5000,80,3,250,80000,6,0",
"cccccc"=>"凤皇剑,4000,85,5,350,120000,6,0",
"ccccccc"=>"真*凤皇剑,4000,90,6,450,160000,0,3",
"d"=>"電磁斧,3200,75,1,30,6000,7,0",
"da"=>"熱能電磁斧,5000,70,1,50,12000,6,0",
"daa"=>"米加流電磁斧,8000,80,1,100,24000,6,0",
"daaa"=>"高出力電磁斧,5000,70,2,120,48000,6,0",
"daaaa"=>"回転式電磁斧,18000,65,1,190,88000,6,0",
"daaaaa"=>"吼えろ俺の右腕,12000,80,2,380,160000,0,85",
"dd"=>"有線電磁斧,3000,70,2,50,12000,6,0",
"ddd"=>"有線式電磁砲,4500,70,2,100,24000,6,0",
"dddd"=>"電磁竜巻,2000,50,8,200,40000,6,0",
"ddddd"=>"超電磁竜巻,2800,70,8,300,100000,0,0",
"dc"=>"光束薙刀,6000,50,1,50,12000,6,0",
"dcc"=>"大型光束薙刀,9000,60,1,80,24000,6,0",
"dccc"=>"高出力光束薙刀,3500,80,4,120,48000,6,0",
"dccca"=>"龍王破山劍,1900,80,10,300,88000,6,4",
"dcccaa"=>"龙王破山剑·逆鲮断,30000,100,1,500,188000,0,1",
"dcccc"=>"死神光斬,4000,80,5,350,88000,0,0",
"e"=>"１０５㎜步槍,1600,70,3,50,5000,7,0",
"ea"=>"１０５㎜光束槍,1000,70,6,60,10000,6,0",
"eaa"=>"DX用光束槍,1500,60,7,100,20000,6,0",
"eaaa"=>"２連光束槍,1200,70,10,140,40000,6,0",
"eaaaa"=>"DX用破坏光束槍,10000,70,2,300,100000,0,0,waaaaaaa",
"ee"=>"米加流光束槍,1200,70,5,60,10000,6,0",
"eea"=>"高能米加流光束槍,4000,80,2,80,20000,6,0",
"eeaa"=>"雷射光束槍,12000,95,1,150,40000,6,0",
"eeaaa"=>"隆基諾斯之槍,20000,80,1,300,100000,0,1,wfffffff",
"eee"=>"有線式光束槍,2200,70,4,90,20000,6,0",
"eeee"=>"４連装高能光束槍,3000,85,4,120,40000,6,0",
"f"=>"１１０㎜机砲,600,60,10,60,5000,7,0",
"fa"=>"霰砲,500,60,15,75,10000,6,0",
